,Rich,Poor,Middle Class,AgentID,Wealth
0,44,26,26,0,39
1,44,26,26,1,45
2,44,26,26,2,15
3,44,26,26,3,28
4,44,26,26,4,17
5,44,26,26,5,98
6,44,26,26,6,2
7,44,26,26,7,41
8,44,26,26,8,3
9,44,26,26,9,23
10,44,26,26,10,-3
11,44,26,26,11,9
12,44,26,26,12,79
13,44,26,26,13,18
14,44,26,26,14,62
15,44,26,26,15,20
16,44,26,26,16,-34
17,44,26,26,17,-99
18,44,26,26,18,-101
19,44,26,26,19,-3
20,44,26,26,20,1
21,44,26,26,21,-52
22,44,26,26,22,10
23,44,26,26,23,23
24,44,26,26,24,12
25,44,26,26,25,3
26,44,26,26,26,-16
27,44,26,26,27,-42
28,44,26,26,28,10
29,44,26,26,29,13
30,44,26,26,30,-43
31,44,26,26,31,75
32,44,26,26,32,-5
33,44,26,26,33,-32
34,44,26,26,34,4
35,44,26,26,35,23
36,44,26,26,36,-3
37,44,26,26,37,73
38,44,26,26,38,-54
39,44,26,26,39,38
40,44,26,26,40,-10
41,44,26,26,41,-40
42,44,26,26,42,-44
43,44,26,26,43,56
44,44,26,26,44,14
45,44,26,26,45,-29
46,44,26,26,46,23
47,44,26,26,47,-102
48,44,26,26,48,1
49,44,26,26,49,34
50,44,26,26,50,33
51,44,26,26,51,60
52,44,26,26,52,1
53,44,26,26,53,35
54,44,26,26,54,-32
55,44,26,26,55,-8
56,44,26,26,56,-11
57,44,26,26,57,3
58,44,26,26,58,60
59,44,26,26,59,25
60,44,26,26,60,-43
61,44,26,26,61,26
62,44,26,26,62,-46
63,44,26,26,63,47
64,44,26,26,64,-16
65,44,26,26,65,3
66,44,26,26,66,-25
67,44,26,26,67,37
68,44,26,26,68,-78
69,44,26,26,69,-1
70,44,26,26,70,-3
71,44,26,26,71,-49
72,44,26,26,72,54
73,44,26,26,73,36
74,44,26,26,74,-3
75,44,26,26,75,-3
76,44,26,26,76,1
77,44,26,26,77,21
78,44,26,26,78,81
79,44,26,26,79,63
80,44,26,26,80,-2
81,44,26,26,81,-14
82,44,26,26,82,-37
83,44,26,26,83,25
84,44,26,26,84,49
85,44,26,26,85,59
86,44,26,26,86,-42
87,44,26,26,87,42
88,44,26,26,88,-3
89,44,26,26,89,-10
90,44,26,26,90,2
91,44,26,26,91,-87
92,44,26,26,92,18
93,44,26,26,93,46
94,44,26,26,94,13
95,44,26,26,95,-2
96,44,26,26,96,-7
97,44,26,26,97,55
98,44,26,26,98,-15
99,44,26,26,99,6
