,Fine,On Fire,Burned Out
0,7390,74,0
1,7206,90,168
2,7047,86,331
3,6930,60,474
4,6776,93,595
5,6602,97,765
6,6492,58,914
7,6378,65,1021
8,6228,88,1148
9,6066,86,1312
10,5868,111,1485
11,5705,98,1661
12,5524,101,1839
13,5354,90,2020
14,5204,79,2181
15,5079,78,2307
16,4941,73,2450
17,4832,62,2570
18,4726,69,2669
19,4554,99,2811
20,4344,119,3001
21,4186,98,3180
22,4038,79,3347
23,3884,80,3500
24,3737,84,3643
25,3600,83,3781
26,3435,89,3940
27,3257,106,4101
28,3057,98,4309
29,2853,116,4495
30,2652,97,4715
31,2453,111,4900
32,2302,76,5086
33,2121,99,5244
34,1918,109,5437
35,1709,111,5644
36,1512,120,5832
37,1316,114,6034
38,1110,122,6232
39,860,125,6479
40,667,91,6706
41,515,81,6868
42,384,65,7015
43,290,52,7122
44,232,38,7194
45,193,22,7249
46,179,7,7278
47,172,1,7291
48,172,0,7292
